"cell_id","umap_x","umap_y","tissue_x","tissue_y","cluster","color_hex"
"blkkbpii-1",6.19326692173171,-4.43504774136942,8474.6171875,-8290.759765625,"Mesenchymal","#F0E442"
"blkkeapn-1",-6.0457238619597,0.378185991807763,8476.1455078125,-8102.86279296875,"Epi_SecA","#E69F00"
"blkkemak-1",5.53810554096389,-5.3135024265806,8471.90234375,-8266.73828125,"T cell","#1C91D4"
"blkkocdg-1",8.38197618076491,-5.10470258756083,8469.7470703125,-8256.7744140625,"Plasma cell","#005685"
"blkkpbep-1",-7.72178024699998,-0.341382022337134,8481.0517578125,-8562.98046875,"Epi_SecA","#E69F00"
"blkkpmab-1",-5.17391533305955,-1.95125340981882,8468.3447265625,-8625.4765625,"Epi_SecA","#E69F00"
"blkkpmih-1",-6.30056137492967,-1.61294912858408,8479.630859375,-8609.248046875,"Epi_SecA","#E69F00"
"blkldakh-1",-6.28635782649827,-1.45217060609263,8485.1015625,-8583.943359375,"Epi_SecA","#E69F00"
"blkldmkd-1",-8.0245851938994,0.449488405748193,8476.390625,-8576.189453125,"Epi_SecA","#E69F00"
"blkleeib-1",-7.76935810497117,0.724602942033593,8489.34375,-8570.76171875,"Epi_SecA","#E69F00"
"blklefmo-1",-8.25080246379686,0.907451514764611,8509.1875,-8665.8466796875,"Epi_SecA","#E69F00"
"blklikgp-1",-7.25348705699754,2.95742309526998,8512.7470703125,-8677.6162109375,"Epi_SecA","#E69F00"
"blklingk-1",-8.21108669689012,2.51928842501241,8506.857421875,-8673.2138671875,"Epi_SecA","#E69F00"
"blkljgbm-1",-7.71695846965623,1.02395594553549,8492.4140625,-8677.44140625,"Epi_SecA","#E69F00"
"blkmcclk-1",-3.8930139010222,3.2982009692629,8469.33984375,-8678.0791015625,"Epi_SecA","#E69F00"
"blkmgnlh-1",-8.64313263347459,1.54176557497579,8478.8173828125,-8674.158203125,"Epi_SecA","#E69F00"
"blkmhfmi-1",-5.76041311672044,-2.09105789227885,8462.1376953125,-8673.4921875,"Epi_SecA","#E69F00"
"blkmklbb-1",-8.54753059795213,1.75549722151357,8488.505859375,-8668.2080078125,"Epi_SecA","#E69F00"
"blkmliki-1",-4.76706022670579,0.551511172815148,8457.8017578125,-8667.40625,"Epi_SecA","#E69F00"
"blknbenb-1",-8.36638111522508,1.38182759718496,8506.3857421875,-8643.7919921875,"Epi_SecA","#E69F00"
"blkneaba-1",-7.67717594554734,2.42162383036215,8515.0849609375,-8658.4296875,"Epi_SecA","#E69F00"
